project;analysis_type;commit one;commit two;className;method;local_version_commit_one;local_version_commit_two
commons-lang;commit_pairs;2c454a4ce3fe771098746879b166ede2284b94f4;687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509;org.apache.commons.lang3.math.NumberUtils;"createNumber(String)Number";/cephyr/users/leuson/Hebbe/teste-server/b_Lang_2c454a4ce3fe771098746879b166ede2284b94f4_buggy/target/classes;/cephyr/users/leuson/Hebbe/teste-server/f_Lang_687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509_fixed/target/classes
commons-lang;commit_pairs;2c454a4ce3fe771098746879b166ede2284b94f4;687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509;org.apache.commons.lang3.math.NumberUtils;"createNumber(String)Number";/local/tmp.11125002/b_Lang_2c454a4ce3fe771098746879b166ede2284b94f4_buggy/target/classes;/local/tmp.11125002/f_Lang_687b2e62b7c6e81cd9d5c872b7fa9cc8fd3f1509_fixed/target/classes
commons-lang;commit_pairs;1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b;2c9c8753165dc7ce5dd1d5a6d741b445b33302c2;org.apache.commons.lang3.math.NumberUtils;"createNumber(String)Number";/local/tmp.11125002/b_Lang_1f001d06a2bde5ee4e3204ab38c4b1db8e95db0b_buggy/target/classes;/local/tmp.11125002/f_Lang_2c9c8753165dc7ce5dd1d5a6d741b445b33302c2_fixed/target/classes
commons-lang;commit_pairs;4ddbd99c5805781bd3c2287ab7920fecc23dab53;fb47b96ab635d7cc6e9edefdddc46f1baf63b117;org.apache.commons.lang3.text.translate.LookupTranslator;"LookupTranslator(CharSequence[])";/local/tmp.11125002/b_Lang_4ddbd99c5805781bd3c2287ab7920fecc23dab53_buggy/target/classes;/local/tmp.11125002/f_Lang_fb47b96ab635d7cc6e9edefdddc46f1baf63b117_fixed/target/classes
commons-lang;commit_pairs;4ddbd99c5805781bd3c2287ab7920fecc23dab53;fb47b96ab635d7cc6e9edefdddc46f1baf63b117;org.apache.commons.lang3.text.translate.LookupTranslator;"translate(CharSequence| int| Writer)int";/local/tmp.11125002/b_Lang_4ddbd99c5805781bd3c2287ab7920fecc23dab53_buggy/target/classes;/local/tmp.11125002/f_Lang_fb47b96ab635d7cc6e9edefdddc46f1baf63b117_fixed/target/classes
commons-lang;commit_pairs;379151bad9c5402c335db67f9494351b99298732;75944e541d358d5b06ebbba3098a919fbf2539d4;org.apache.commons.lang3.LocaleUtils;"toLocale(String)Locale";/local/tmp.11125002/b_Lang_379151bad9c5402c335db67f9494351b99298732_buggy/target/classes;/local/tmp.11125002/f_Lang_75944e541d358d5b06ebbba3098a919fbf2539d4_fixed/target/classes
commons-lang;commit_pairs;6823c3742ee16f5b28e550a6afb685553befc0c2;cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c;org.apache.commons.lang3.text.translate.CharSequenceTranslator;"translate(CharSequence| Writer)void";/local/tmp.11125002/b_Lang_6823c3742ee16f5b28e550a6afb685553befc0c2_buggy/target/classes;/local/tmp.11125002/f_Lang_cff0f1ae37bb2b7ab2dcdb10dec1f3cad7532e1c_fixed/target/classes
commons-lang;commit_pairs;f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300;e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b;org.apache.commons.lang3.math.NumberUtils;"createBigDecimal(String)BigDecimal";/local/tmp.11125002/b_Lang_f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300_buggy/target/classes;/local/tmp.11125002/f_Lang_e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b_fixed/target/classes
commons-lang;commit_pairs;f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300;e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b;org.apache.commons.lang3.math.NumberUtils;"createNumber(String)Number";/local/tmp.11125002/b_Lang_f0c7e60bbaf975b64ab5bf1b75ba6b7dbc256300_buggy/target/classes;/local/tmp.11125002/f_Lang_e71f6dd3f2f70c640ae73d28b432b3a69ffcab4b_fixed/target/classes
commons-lang;commit_pairs;8d192d7063cc747a3c6226122ea83c7348e199e7;a4a455053e7e4a77320efd6db0814f4de82d754d;org.apache.commons.lang3.time.FastDatePrinter;"appendTo(StringBuffer| Calendar)void";/local/tmp.11125002/b_Lang_8d192d7063cc747a3c6226122ea83c7348e199e7_buggy/target/classes;/local/tmp.11125002/f_Lang_a4a455053e7e4a77320efd6db0814f4de82d754d_fixed/target/classes
